,sar上涨形成趋势,sar上涨停滞趋势,sar下跌形成趋势,sar下跌停滞趋势,平均比--上涨形成,平均比--上涨停滞,平均比--下跌形成,平均比--下跌停滞,趋势类型,趋势类型(加权
2019-10,175,377,185,361,0.7442127061607869,1.6273788521451897,0.7887809580305503,1.0411415817126235,1,1
2019-11,175,337,250,335,0.7442127061607869,1.4547126609361511,1.0659202135547976,0.966156315439692,1,1
2019-12,106,298,370,324,0.4507802677316767,1.2863631245073384,1.5775619160611005,0.9344317797088365,2,1
2020-01,348,80,34,636,1.4799201242511648,0.3453323824180774,0.14496514904345248,1.8342549749840125,3,3
2020-02,159,291,421,227,0.676170401597515,1.2561465410457566,1.7950096396262791,0.6546790555367465,2,1
2020-03,151,186,546,215,0.642149249315879,0.80289778912203,2.327969746403678,0.620070471103086,2,2
2020-04,137,215,367,379,0.5826122328230161,0.928080777748583,1.564770873498443,1.0930544583631143,2,1
2020-05,194,156,260,487,0.8250129428296724,0.6733981457152509,1.1085570220969896,1.4045317182660597,3,1
2020-06,146,217,248,482,0.6208860291398566,0.9367140873090349,1.0573928518463591,1.3901114747520347,3,1
2020-07,247,162,117,568,1.0504030766955108,0.6992980743966067,0.49885065994364525,1.638139663193269,3,1
2020-08,515,85,25,472,2.190111678130316,0.36691565631920725,0.10659202135547975,1.3612709877239841,0,0
2020-09,340,336,80,339,1.445898971969529,1.4503960061559251,0.3410944683375352,0.9776925102509123,1,1
2020-10,93,569,338,98,0.3954958952740182,2.4561765699485756,1.4411241287260863,0.28263677287489497,1,1
2020-11,170,447,243,239,0.7229494859847645,1.9295446867610075,1.0360744475752632,0.6892876399704072,1,1
2020-12,420,195,94,390,1.7861104947858888,0.8417476821440637,0.4007860002966039,1.1247789940939699,0,1
2021-01,235,333,367,165,0.9993713482730567,1.4374460418152473,1.564770873498443,0.4758680359628334,2,1
2021-02,133,322,521,125,0.5656016566821981,1.3899628392327616,2.2213777250481983,0.3605060878506314,2,1
2021-03,191,186,162,562,0.8122550107240589,0.80289778912203,0.6907162983835088,1.6208353709764387,3,1
2021-04,234,184,143,540,0.9951187042378523,0.7942644795615781,0.6097063621533442,1.5573862995147276,3,1
2021-05,197,243,268,392,0.8377708749352859,1.04894711159491,1.142666468930743,1.1305470914995799,2,1
2021-06,320,174,97,509,1.360846091265439,0.7510979317593184,0.41357704285926145,1.467980789727771,3,1
2021-07,213,299,264,324,0.9058131794985579,1.2906797792875644,1.1256117455138663,0.9344317797088365,1,1
2021-08,211,270,431,188,0.8973078914281488,1.1654967906610112,1.8376464481684711,0.5422011561273495,2,1
2021-09,374,136,97,494,1.5904888691664818,0.5870650501107316,0.41357704285926145,1.4247200591856952,0,1
2021-10,253,341,175,332,1.0759189409067378,1.471979280057055,0.7461441494883583,0.9575041693312769,1,1
2021-11,135,419,312,236,0.574106944752607,1.8086783529146804,1.3302684265163873,0.6806354938619921,1,1
2021-12,332,196,154,420,1.411877819687893,0.8460643369242896,0.6566068515497553,1.2113004551781215,0,1
2022-01,384,215,68,435,1.6330153095185267,0.928080777748583,0.28993029808690496,1.2545611857201973,0,1
2022-02,113,455,412,121,0.48054877597810813,1.9640779250028153,1.7566365119383065,0.34896989303941117,1,1
2022-03,394,184,66,458,1.6755417498705718,0.7942644795615781,0.2814029363784666,1.3208943058847133,0,1
2022-04,262,247,421,172,1.1141927372235783,1.066213730715814,1.7950096396262791,0.4960563768824688,2,1
2022-05,143,343,331,283,0.6081280970342431,1.4806125896175069,1.411278362746552,0.8161857828938294,1,1
